,domain_interaction,count
1527,3.30.1490.220:partner-3.30.470.20:major_partner,2
1529,3.90.1260.10:major_partner-3.90.1260.10:partner,2
1536,2.60.200.40:partner-3.40.50.10330:major_partner,2
1540,1.20.141.10:major_partner-3.30.386.10:partner,2
1545,2.40.33.10:major_partner-3.20.20.60:partner,2
1546,2.40.33.10:major_partner-3.20.20.60:major_partner,2
1547,3.20.20.60:partner-3.20.20.60:partner-3.20.20.60:partner,2
1549,3.40.50.150:major_partner-3.55.20.10:partner,2
1550,3.30.300.110:partner-3.40.50.150:major_partner,2
1556,1.20.1670.10:partner-1.20.1680.10:major_partner,2
1558,2.40.37.10:major_partner-3.20.20.10:partner,2
1559,2.40.37.10:partner-2.40.37.10:partner-3.20.20.10:major_partner,2
1561,3.30.2240.10:partner-3.30.428.10:major_partner,2
1562,3.30.1330.10:partner-3.30.1330.10:partner-3.30.70.1670:partner,2
1563,3.30.200.40:partner-3.30.428.10:major_partner,2
1564,3.30.70.1230:major_partner-3.30.70.1230:major_partner,2
1567,1.20.5.1300:partner-3.40.50.1980:major_partner,2
1572,3.30.70.250:major_partner-3.40.366.10:partner,2
1573,1.10.240.10:major_partner-3.40.50.620:major_partner,2
1574,2.20.28.290:partner-3.40.50.620:major_partner,2
1575,3.30.1300.10:major_partner-3.40.50.620:partner,2
1576,3.30.300.10:major_partner-3.40.50.620:partner,2
1577,1.10.10.1140:major_partner-3.40.50.620:partner-3.40.50.620:partner,2
1579,3.40.720.10:major_partner-3.40.720.10:partner,2
1580,3.30.1120.170:partner-3.40.720.10:major_partner,2
1581,2.70.98.20:major_partner-2.70.98.20:major_partner,2
1582,3.40.50.1820:major_partner-3.40.50.1820:major_partner,2
1583,1.10.1090.10:major_partner-3.30.830.10:partner,2
1585,3.30.70.3180:major_partner-6.10.140.450:partner,2
1589,3.30.800.10:partner-3.30.810.10:major_partner,2
1591,3.10.20.70:partner-3.30.590.10:major_partner,2
1592,1.10.230.10:partner-1.10.580.10:partner-1.10.580.10:partner,2
1594,3.30.470.10:major_partner-3.30.470.10:partner,2
1595,3.30.559.10:partner-3.30.559.70:major_partner,2
1597,3.40.140.80:partner-3.40.50.20:major_partner,2
1599,1.10.4100.10:major_partner-3.30.1330.120:partner,2
1600,1.10.1040.10:major_partner-1.20.5.320:partner,2
1601,3.20.10.10:partner-3.20.10.10:partner-3.20.10.10:partner,2
1604,3.30.390.30:partner-3.50.50.60:major_partner-3.50.50.60:partner,2
1605,3.30.70.360:partner-3.30.70.360:partner-3.40.630.10:partner,2
1606,2.102.20.10:partner-2.60.390.10:partner-3.20.20.80:major_partner,2
1607,3.20.20.80:major_partner-3.20.20.80:partner,2
1608,1.10.10.760:major_partner-3.20.20.80:major_partner,2
1609,3.10.50.10:major_partner-3.20.20.80:partner,2
1611,1.10.10.60:major_partner-1.10.10.60:partner,2
1612,3.30.230.10:partner-3.30.70.890:major_partner,2
1613,3.50.50.60:major_partner-3.90.660.10:major_partner,2
1614,3.30.9.20:partner-3.50.50.60:major_partner,2
1615,3.40.30.10:partner-3.50.50.60:major_partner,2
1616,3.50.50.60:major_partner-3.50.50.60:major_partner,2
1617,3.30.560.10:partner-3.50.50.60:major_partner,2
1618,2.40.40.20:major_partner-2.40.40.20:major_partner,2
1621,3.30.300.10:partner-3.30.300.340:major_partner,2
1622,3.30.300.10:partner-3.30.300.10:partner-3.30.300.10:partner,2
1623,3.30.300.10:major_partner-3.30.300.10:partner-3.30.300.10:partner-3.30.300.10:partner,2
1624,1.10.420.10:major_partner-1.10.520.10:major_partner,2
1626,3.10.25.10:partner-3.40.50.170:major_partner,2
1628,3.40.190.10:partner-3.40.190.270:major_partner,2
1629,3.90.79.10:major_partner-4.10.80.100:partner,2
1630,3.30.300.30:partner-3.40.50.980:major_partner,2
1631,3.30.1510.10:major_partner-3.30.1510.10:partner,2
1632,2.40.10.250:major_partner-2.40.10.250:major_partner,2
1633,3.90.1230.10:major_partner-3.90.340.10:partner,2
1635,3.90.1230.10:partner-3.90.440.10:major_partner,2
1643,1.20.1050.10:partner-1.20.1050.10:partner-3.40.30.10:partner,2
1644,1.10.720.60:partner-3.40.50.1000:major_partner,2
1645,3.40.1110.10:partner-3.40.50.1000:major_partner,2
1646,3.30.1240.10:partner-3.40.50.1000:major_partner,2
1647,3.30.70.270:major_partner-3.40.50.2300:partner,2
1652,1.20.5.700:partner-1.20.810.10:major_partner,2
1653,1.20.5.510:major_partner-1.20.5.700:partner,2
1654,3.30.300.30:major_partner-3.40.50.12780:partner,2
1655,1.10.1200.10:partner-3.30.300.30:partner-3.40.50.12780:major_partner,2
1657,1.10.287.980:major_partner-1.20.810.10:major_partner,2
1658,1.10.287.980:partner-1.20.810.10:major_partner,2
1659,1.20.5.510:major_partner-1.20.5.700:partner-1.20.810.10:partner,2
1660,1.20.5.510:partner-1.20.5.700:partner-1.20.810.10:partner,2
1663,1.10.3270.10:partner-3.30.70.420:partner-3.90.770.10:major_partner,2
1664,1.10.300.10:major_partner-3.40.440.10:major_partner,2
1667,3.20.20.120:major_partner-3.30.390.10:major_partner,2
1668,3.20.70.20:major_partner-3.20.70.20:major_partner,2
1669,3.30.1370.60:major_partner-3.30.60.50:partner,2
1670,2.60.120.200:major_partner-2.60.120.200:partner,2
1671,3.30.465.10:partner-3.40.462.20:major_partner,2
1672,3.30.465.10:major_partner-3.90.78.10:partner,2
1673,3.30.43.10:major_partner-3.30.465.10:partner-3.40.462.20:partner,2
1674,3.30.390.50:partner-3.30.465.10:major_partner,2
1676,1.10.150.20:partner-3.40.50.1010:major_partner,2
1677,3.10.340.11:partner-3.30.1030.10:major_partner,2
1679,1.10.1530.10:partner-3.30.1370.60:major_partner,2
1680,3.30.43.10:partner-3.30.465.10:partner-3.90.78.10:partner,2
1682,3.30.54.20:partner-3.30.980.10:major_partner,2
1683,1.10.1410.10:major_partner-3.30.460.50:partner,2
1685,2.40.30.10:major_partner-3.10.20.30:partner-3.40.50.80:partner,2
1687,1.10.490.10:partner-2.40.30.10:major_partner-3.40.50.80:partner,2
1688,3.40.50.10540:major_partner-3.40.50.10540:partner,2
1690,3.30.40.230:partner-3.30.930.10:major_partner,2
1692,1.20.1050.10:major_partner-1.20.1050.10:partner,2
1696,3.90.1720.10:major_partner-3.90.1720.10:partner,2
1698,1.10.287.690:major_partner-3.90.1600.10:major_partner,2
1699,3.30.310.50:partner-3.40.120.10:major_partner-3.40.120.10:partner,2
1700,3.40.120.10:major_partner-3.40.120.10:partner,2
1701,2.160.10.10:major_partner-2.160.10.10:partner-2.160.10.10:partner,2
1702,2.160.10.10:major_partner-2.160.10.10:major_partner,2
1703,2.130.10.10:major_partner-4.10.940.10:partner,2
1704,2.130.10.10:partner-4.10.940.10:major_partner,2
1705,2.130.10.10:major_partner-2.60.30.10:major_partner,2
1707,3.30.460.10:major_partner-3.30.460.10:partner,2
1708,1.10.1410.20:partner-3.30.460.10:major_partner,2
1712,1.50.10.10:major_partner-2.70.98.40:partner,2
1713,1.50.10.10:major_partner-4.10.870.10:partner,2
1714,1.10.390.10:major_partner-3.30.2010.30:major_partner,2
1716,3.40.50.10710:major_partner-3.60.15.10:partner,2
1717,1.10.1200.10:partner-3.40.47.10:partner-3.40.47.10:partner,2
1718,1.20.140.10:partner-2.40.110.10:partner,2
1719,3.20.20.370:major_partner-3.20.20.370:partner,2
1722,3.40.50.450:partner-3.40.50.450:partner-3.40.50.460:partner,2
1725,3.30.60.30:major_partner-3.50.20.10:major_partner,2
1727,1.50.10.130:major_partner-1.50.10.160:partner,2
1728,2.60.120.260:major_partner-2.60.120.260:partner,2
1729,2.60.40.10:major_partner-3.30.500.10:partner,2
1730,1.10.1070.11:partner-3.30.1010.10:major_partner,2
1732,1.20.970.10:partner-3.40.1030.10:major_partner,2
1733,1.20.970.50:partner-3.40.1030.10:major_partner,2
1734,3.50.50.100:major_partner-3.50.50.100:partner,2
1735,3.30.200.150:major_partner-3.90.1200.10:partner,2
1736,3.40.1010.20:partner-3.40.1010.20:partner-3.40.50.11270:major_partner,2
1738,1.10.760.10:major_partner-3.90.760.10:partner,2
1739,3.40.718.10:major_partner-3.40.718.10:major_partner,2
1740,3.30.420.360:partner-3.30.420.40:major_partner,2
1741,3.30.420.40:major_partner-3.30.420.40:partner-6.10.10.60:partner,2
1742,3.30.420.40:partner-3.30.420.40:partner-3.90.640.10:major_partner,2
1743,3.30.420.40:partner-6.10.10.60:major_partner,2
1745,3.40.50.720:major_partner-3.40.50.720:partner-3.40.50.720:partner,2
1746,3.40.50.10860:partner-3.40.50.10860:partner-3.40.50.720:partner,2
1747,1.10.1040.50:major_partner-3.40.50.720:partner,2
1748,3.40.50.720:major_partner-6.10.240.10:partner,2
1749,1.20.1370.20:major_partner-2.40.180.10:partner,2
1750,3.40.50.10860:partner-3.40.50.720:partner-3.40.50.720:partner,2
1751,3.40.50.261:partner-3.40.50.720:major_partner,2
1752,3.20.20.70:major_partner-3.50.50.60:partner,2
1753,3.20.20.70:major_partner-3.40.50.1100:major_partner,2
1754,2.70.98.60:partner-3.20.20.70:major_partner,2
1755,2.40.30.10:major_partner-3.40.50.300:partner,2
1756,1.20.120.920:major_partner-1.20.120.920:partner,2
1758,1.20.5.100:major_partner-1.20.5.270:major_partner,2
1762,3.90.1170.40:major_partner-3.90.1170.40:partner,2
1763,1.20.245.10:major_partner-4.10.372.10:partner,2
1767,3.40.50.11820:partner-3.40.50.12580:major_partner,2
1770,3.40.190.160:major_partner-3.40.190.160:partner,2
1774,3.30.470.20:major_partner-3.40.50.720:partner,1
1780,1.10.238.220:partner-1.10.238.230:major_partner,1
1781,3.30.160.750:major_partner-3.30.360.110:partner,1
1784,3.30.1330.40:major_partner-3.30.1330.40:major_partner,1
1788,3.90.470.20:major_partner-3.90.470.20:major_partner,1
1790,1.10.287.3610:major_partner-1.10.287.3610:partner,1
1791,1.10.405.40:partner-3.90.660.10:major_partner,1
1792,3.40.50.10090:major_partner-3.40.50.10090:partner,1
1794,3.40.50.1370:major_partner-3.40.50.1370:major_partner,1
1797,1.10.472.20:major_partner-3.90.330.10:major_partner,1
1800,2.70.40.10:major_partner-2.70.40.10:partner-2.70.40.10:partner,1
1801,2.70.40.10:major_partner-2.70.40.10:major_partner,1
1802,3.30.1760.10:major_partner-3.90.1530.10:major_partner,1
1803,3.30.1760.10:major_partner-3.90.1530.10:partner,1
1804,3.90.850.10:major_partner-3.90.850.10:partner,1
1807,1.10.8.1060:major_partner-1.10.8.1060:partner,1
1811,1.20.59.10:major_partner-1.20.59.10:major_partner,1
1812,3.40.50.10800:major_partner-3.40.50.10800:partner-3.40.50.10800:partner,1
1815,3.30.1490.20:partner-3.30.470.20:partner-3.40.50.20:partner,1
1816,2.30.140.10:major_partner-3.40.50.150:partner,1
1817,3.40.50.150:major_partner-3.40.50.150:major_partner,1
1818,3.40.50.150:major_partner-3.40.50.150:partner,1
1823,3.40.120.10:major_partner-3.40.120.10:partner-3.40.120.10:partner,1
1824,3.30.310.50:major_partner-3.40.120.10:partner-3.40.120.10:partner,1
1825,3.30.70.1690:partner-3.90.190.10:major_partner,1
1826,2.160.10.10:major_partner-3.90.550.10:partner,1
1831,1.20.120.330:major_partner-3.30.460.10:partner,1
1832,1.10.110.30:major_partner-3.30.460.10:major_partner,1
1833,1.10.1410.20:major_partner-3.30.460.10:partner,1
1834,1.10.1410.30:major_partner-3.30.460.10:partner,1
1836,3.40.50.1100:partner-3.90.1380.10:major_partner,1
1837,3.40.50.1100:major_partner-3.40.50.1100:major_partner,1
1841,1.20.1270.50:partner-2.70.98.30:partner-3.20.110.10:major_partner,1
1842,1.20.1270.50:major_partner-1.20.1270.50:partner-2.70.98.30:partner,1
1845,3.30.310.50:partner-3.40.120.10:partner-3.40.120.10:partner,1
1846,1.20.120.330:partner-3.30.460.10:major_partner,1
1847,1.10.490.60:major_partner-3.30.70.1600:partner,1
1850,3.40.50.10710:partner-3.60.15.10:major_partner,1
1851,3.40.50.10890:partner-3.60.15.10:major_partner,1
1853,1.10.390.10:major_partner-2.60.40.1730:partner,1
1854,1.50.10.100:major_partner-2.70.98.70:partner,1
1855,3.30.1110.20:partner-3.40.1190.20:major_partner,1
1856,3.40.50.2020:major_partner-3.40.50.2020:major_partner,1
1857,2.170.270.10:major_partner-2.170.270.10:partner,1
1858,3.30.1490.70:major_partner-3.30.470.30:major_partner,1
1859,1.10.287.610:partner-3.30.1490.70:partner-3.30.470.30:partner,1
1860,1.10.287.610:partner-3.30.470.30:major_partner,1
1861,2.120.10.10:major_partner-2.120.10.10:partner,1
1862,2.60.40.10:partner-3.20.20.300:major_partner,1
1863,1.10.287.1080:major_partner-1.10.287.1080:partner,1
1864,3.30.54.20:major_partner-3.30.980.10:partner,1
1866,2.40.50.110:major_partner-2.40.50.110:partner,1
1869,3.30.465.10:partner-3.30.70.2520:major_partner-3.30.70.2530:partner,1
1870,3.30.540.10:major_partner-3.40.190.80:major_partner,1
1871,3.30.930.10:major_partner-3.30.930.10:partner,1
1872,2.30.30.100:partner-3.30.930.10:major_partner,1
1873,1.20.1050.10:major_partner-1.20.1050.10:major_partner,1
1874,1.10.3720.10:major_partner-1.10.3720.10:partner,1
1877,3.30.1540.10:partner-3.40.50.10540:major_partner-3.40.50.10540:partner,1
1879,3.30.70.3550:major_partner-3.40.630.70:partner,1
1885,3.20.20.140:major_partner-3.30.1490.130:partner,1
1886,1.10.150.650:major_partner-3.20.20.140:partner,1
1888,3.40.1110.10:major_partner-3.40.50.1000:major_partner,1
1889,1.10.150.210:partner-3.40.50.1000:major_partner,1
1890,3.10.10.10:partner-3.10.10.10:partner-3.30.70.270:partner,1
1891,3.30.70.270:major_partner-3.40.50.2300:major_partner,1
1892,3.30.70.270:major_partner-6.10.250.1490:partner,1
1893,3.10.10.10:major_partner-3.30.70.270:major_partner,1
1899,3.40.50.10740:major_partner-3.50.30.60:partner,1
1900,1.20.1290.10:major_partner-1.20.1290.10:partner,1
1903,1.10.287.1250:major_partner-3.40.367.20:partner,1
1904,3.30.950.10:partner-3.40.1010.10:major_partner,1
1908,3.30.110.120:major_partner-3.90.870.30:partner,1
1910,3.30.1490.80:major_partner-3.40.50.1760:partner,1
1911,2.60.120.260:major_partner-3.20.20.300:partner,1
1913,2.60.40.10:major_partner-3.20.20.300:partner,1
1914,1.10.3270.10:partner-3.90.770.10:major_partner,1
1916,3.20.19.10:major_partner-3.30.499.10:partner-3.30.499.10:partner,1
1918,3.40.50.2030:major_partner-3.40.970.20:partner,1
1920,3.20.20.470:partner-3.20.20.80:major_partner,1
1921,3.30.230.10:partner-3.90.175.10:major_partner,1
1922,1.10.405.40:partner-3.50.50.60:partner-3.90.660.10:major_partner,1
1923,2.60.120.260:partner-2.60.120.260:partner-3.20.20.80:partner,1
1924,3.10.50.10:major_partner-3.20.20.80:major_partner,1
1927,2.10.270.10:major_partner-2.10.270.10:partner,1
1928,3.30.365.10:major_partner-3.30.365.10:major_partner,1
1929,3.30.1330.10:partner-3.30.1330.10:partner-3.90.650.10:partner,1
1931,3.30.410.40:major_partner-3.50.50.60:major_partner,1
1932,3.30.390.30:partner-3.50.50.60:partner-3.50.50.60:partner,1
1933,3.30.410.40:partner-3.50.50.60:major_partner,1
1934,2.40.270.10:major_partner-2.40.40.20:partner,1
1935,2.40.40.10:partner-2.60.40.760:major_partner,1
1936,2.40.40.10:partner-2.40.40.10:partner-2.60.40.760:partner-2.60.40.760:partner,1
1937,3.40.190.10:major_partner-3.40.190.10:major_partner,1
1938,3.30.160.40:partner-3.40.190.10:partner-3.40.190.10:partner,1
1940,3.40.80.10:major_partner-3.40.80.10:partner,1
1945,3.40.50.12500:major_partner-3.40.50.12500:partner,1
1948,3.10.20.340:partner-3.60.70.12:major_partner,1
1949,2.170.8.10:major_partner-3.40.449.10:major_partner,1
1950,3.30.70.360:major_partner-3.30.70.360:major_partner,1
1953,2.160.20.10:major_partner-2.60.40.1180:partner,1
1954,1.10.3020.10:major_partner-3.40.50.1820:partner,1
1955,1.10.3020.10:partner-3.40.50.1820:major_partner,1
1956,1.10.210.20:partner-3.40.50.1820:major_partner,1
1957,1.10.3020.10:major_partner-3.40.50.1820:major_partner,1
1958,3.30.1360.110:partner-3.40.720.10:major_partner,1
1961,3.10.10.20:major_partner-3.30.70.2630:partner,1
1962,1.20.58.310:partner-3.30.870.10:major_partner,1
1964,3.30.750.180:major_partner-3.60.21.40:partner,1
1967,1.10.1200.10:partner-3.90.470.20:partner-3.90.470.20:partner,1
1968,3.40.50.2300:major_partner-3.40.50.2300:partner,1
1970,3.30.1330.50:major_partner-3.30.1330.50:major_partner,1
1971,1.10.230.10:major_partner-1.10.580.10:major_partner,1
1972,1.10.230.10:major_partner-1.10.580.10:partner-1.10.580.10:partner,1
1974,3.40.50.12470:major_partner-3.40.50.970:partner,1
1978,1.10.590.10:major_partner-1.10.590.10:major_partner,1
1979,3.40.250.10:major_partner-3.40.250.10:partner,1
1981,1.10.1040.10:major_partner-1.20.5.320:major_partner,1
1985,1.10.10.2150:partner-3.40.50.150:major_partner,1
1986,2.70.160.11:partner-3.40.50.150:major_partner,1
1987,2.20.130.10:major_partner-3.40.50.150:partner,1
1988,2.20.130.10:major_partner-3.40.50.150:major_partner,1
1989,3.20.20.60:major_partner-3.20.20.60:major_partner,1
1991,3.40.50.10750:major_partner-3.40.50.10750:partner-3.40.50.10950:partner,1
1995,3.20.20.110:partner-3.30.190.10:major_partner,1
2002,3.65.10.10:major_partner-3.65.10.10:major_partner,1
2003,1.50.10.20:major_partner-1.50.10.20:major_partner,1
2004,1.25.40.120:major_partner-1.50.10.20:partner,1
2005,3.40.50.10750:partner-3.40.50.10750:partner-3.40.50.10950:partner,1
2006,3.40.50.10750:partner-3.40.50.10950:major_partner,1
2007,3.40.720.10:partner-4.10.410.20:major_partner,1
2008,1.10.510.10:major_partner-3.60.40.10:partner,1
2009,2.70.98.20:major_partner-2.70.98.20:partner,1
2010,2.40.70.10:major_partner-2.40.70.10:major_partner,1
2012,3.30.70.520:partner-3.30.70.520:partner-3.30.70.520:partner,1
2021,3.30.470.20:partner-3.40.50.1380:major_partner,1
2022,3.30.200.20:partner-3.30.470.20:major_partner,1
2023,3.40.440.10:major_partner-3.90.170.10:major_partner,1
2025,3.30.70.100:major_partner-3.30.70.100:partner,1
2026,3.30.70.580:major_partner-3.30.70.660:partner,1
2027,2.60.120.230:major_partner-2.60.120.310:partner,1
2029,2.30.38.10:major_partner-3.40.50.12820:partner,1
2033,1.20.141.10:partner-3.30.386.10:major_partner,1
2037,3.40.50.1260:major_partner-3.40.50.1260:partner,1
2039,1.10.3130.10:major_partner-1.10.3130.10:partner,1
2046,1.20.1270.320:major_partner-3.30.460.60:partner,1
2047,1.10.1040.10:partner-1.20.5.320:partner-3.40.50.720:partner,1
2049,3.30.470.20:partner-3.40.50.720:major_partner,1
2050,3.40.50.11190:partner-3.40.50.2000:major_partner,1
2053,3.30.470.20:major_partner-3.40.50.720:major_partner,1
2054,2.40.10.10:major_partner-2.40.10.10:major_partner,1
2061,3.40.50.720:major_partner-3.90.190.20:partner,1
2063,3.10.600.10:partner-3.30.470.20:partner-3.30.470.20:partner,1
2066,3.50.30.50:major_partner-3.50.30.50:partner,1
2074,3.40.50.11040:partner-3.40.50.300:major_partner,1
2075,3.40.50.10810:partner-3.40.50.300:major_partner,1
2076,3.40.50.12020:major_partner-3.40.50.300:partner,1
2077,3.40.449.10:major_partner-3.90.228.20:partner,1
2078,2.170.8.10:partner-3.40.449.10:partner-3.90.228.20:partner,1
2079,3.40.220.10:major_partner-3.40.220.10:partner,1
2082,1.25.50.10:partner-2.60.40.1840:major_partner,1
2083,1.10.530.10:partner-3.90.550.10:major_partner,1
2085,1.20.140.10:major_partner-1.20.140.10:partner-1.20.140.10:partner,1
2086,3.40.350.10:partner-3.90.230.10:major_partner,1
2088,3.30.420.40:partner-3.90.870.20:major_partner,1
2089,3.30.420.40:partner-3.40.367.20:major_partner-3.40.367.20:partner,1
2090,3.30.420.40:major_partner-3.30.420.570:partner,1
2092,3.30.420.40:major_partner-3.30.420.40:partner-3.30.420.40:partner,1
2095,1.10.1740.10:partner-3.40.50.720:major_partner,1
2096,1.10.439.20:partner-3.60.60.20:major_partner,1
2100,3.30.750.70:partner-3.40.1080.20:major_partner,1
2103,2.60.120.1030:partner-3.40.50.300:major_partner,1
2104,1.25.40.460:partner-3.40.50.300:major_partner,1
2105,1.10.220.150:partner-3.40.50.300:major_partner,1
2106,1.10.3660.10:major_partner-3.40.50.720:partner,1
2107,1.20.82.10:major_partner-3.40.50.720:major_partner,1
2108,3.40.50.10860:major_partner-3.40.50.720:major_partner,1
2109,3.40.1190.10:partner-3.40.50.720:major_partner-3.90.190.20:partner,1
2110,1.10.1740.10:major_partner-3.40.50.720:partner,1
